ID,cap1,cap2,deckId,element,hp,name,prize,resist,retreat,type,weakness,level,evolve
1,allure,dark_cutter,,dark,110,absol,1,,1,pokemon,grass,basic,
2,sweet_circle,,,psy,90,alcremie,1,,1,pokemon,metal,stage1,milcery
3,brock_scouting_cap,,,,,brock_scouting,,,,supporter,,,
4,infernal slash,,,fire,140,ceruledge,1,,2,pokemon,fire,stage1,charcadet
5,gather strength,chop,,fire,70,charcadet,1,,2,pokemon,fire,basic,
6,dawn_cap,,,,,dawn,,,,supporter,,,
7,drayton_cap,,,,,drayton,,,,supporter,,,
8,dusk_ball_cap,,,,,dusk_ball,,,,item,,,
9,energy_recycler_cap,,,,,energy_recycler,,,,item,,,
10,energy_retrieval_cap,,,,,energy_retrieval,,,,item,,,
11,fighting_gong_cap,,,,,fighting_gong,,,,item,,,
12,firebreather_cap,,,,,firebreather,,,,supporter,,,
13,sandy_flapping,cutting_wind,,combat,150,flygon,1,,1,pokemon,grass,stage2,vibrava
14,poison_jab,,,combat,70,gligar,1,,1,pokemon,grass,basic,
15,poison_ring,,,combat,,gliscor,1,,1,pokemon,grass,stage1,gligar
16,grimsley_move_cap,,,,,grimsley_move,,,,supporter,,,
17,hilda_cap,,,,,hilda,,,,supporter,,,
18,iris_fighting_spirit_cap,,,,,iris_fighting_spirit,,,,supporter,,,
19,bite,confront,,dark,100,krokorok,1,,2,pokemon,grass,stage1,sandile
20,vengeful_fang,hammer_in,,dark,170,krookodile,1,,3,pokemon,grass,stage2,krokorok
21,lillie_determination_cap,,,,,lillie_determination,,,,supporter,,,
22,draining_kiss,,,psy,50,milcery,1,,1,pokemon,metal,basic,
23,call_for_family_mimikyu,scratch,,psy,70,mimikyu,1,,1,pokemon,metal,basic,
24,fighting_wing,,,fire,120,moltres,1,,1,pokemon,water,basic,
25,premium_power_pro_cap,,,,,premium_power_pro,,,,item,,,
26,rare_candy_cap,,,,,rare_candy,,,,item,,,
27,ram,rear_kick,,dark,70,sandile,1,,2,pokemon,grass,basic,
28,switch_cap,,,,,switch,,,,item,,,
29,call_for_family_toxel,playful_kick,,dark,70,toxel,1,,1,pokemon,combat,basic,
30,sinister_surge,gentle_slap,,dark,140,toxtricity,1,,2,pokemon,combat,stage1,toxel
31,double_headbutt,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,,,,,,,,,,,,,
42,,,,,,,,,,,,,
43,,,,,,,,,,,,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,,,,,,,,,,,,,
49,,,,,,,,,,,,,
50,,,,,,,,,,,,,
